Name,Session ID,Types,Description,Session begin date (UTC),Duration (hh:mm:ss),Time (hh:mm:ss),Position,Acceleration Load (load | high),Acceleration Load (load | low),Acceleration Load (load | medium),Acceleration Load (load | very high),Acceleration Load (max.),Acceleration Load (time | high) (hh:mm:ss),Acceleration Load (time | low) (hh:mm:ss),Acceleration Load (time | medium) (hh:mm:ss),Acceleration Load (time | very high) (hh:mm:ss),Acceleration Load / min,Anaerobic Activity (time) (hh:mm:ss),High Intensity Effort/Min,Jump Load (J),Jump Load / min (J),Jump Load per mass (J/kg),Jump Load per mass / min (J/kg),Total Workload,Changes of Orientation,Changes of Orientation / min,Exertions,Exertions (high),Exertions (low),Exertions (medium),Exertions (very high),Exertions / min,Exertions / min (high),Exertions / min (low),Exertions / min (medium),Exertions / min (very high),Jumps,Jumps (high),Jumps (low),Jumps (medium),Jumps (very high),Jumps (very low),Jumps / min,Jumps / min (high),Jumps / min (low),Jumps / min (medium),Jumps / min (very high),Jumps / min (very low),Jump Height,mRSI
SS009,214,Practice,Tuesday (10/24),10/24/2023,8322,8153,Setter,33.03,475.74,151.36,0.37,5.53,161,7209,782,1,1,81,4.86,92116.88,677.91,2533.21,18.64,660.5,32,0.24,41,0,9,32,0,0.3,0,0.07,0.24,0,349,73,76,155,11,34,2.57,0.54,0.56,1.14,0.08,0.25,,
SS009,215,Practice,Wednesday (10/25),10/25/2023,7413,7385,Setter,29.35,431.87,144.54,0.09,5.07,143,6490,752,0,1.02,65,4.92,81106.66,658.96,2230.43,18.12,605.85,14,0.11,36,0,6,30,0,0.29,0,0.05,0.24,0,312,68,68,134,6,36,2.53,0.55,0.55,1.09,0.05,0.29,,
SS009,216,Practice,Thursday (10/26),10/26/2023,5672,5607,Setter,22.34,336.2,89.71,0.82,5.47,105,5024,474,3,0.99,58,4.81,49073.93,525.17,1349.53,14.44,449.08,13,0.14,35,0,6,29,0,0.37,0,0.06,0.31,0,182,38,37,77,9,21,1.95,0.41,0.4,0.82,0.1,0.22,,
SS009,217,Match,CAL,10/27/23,5200,5150,Setter,18.89,284.57,81.6,1.32,5.38,82,4646,418,4,0.93,46,4.5,41570.9,484.32,1143.2,13.32,486.38,19,0.22,34,0,7,27,0,0.4,0,0.08,0.31,0,152,34,19,57,17,25,1.77,0.4,0.22,0.66,0.2,0.29,,
SS009,218,Match,Stanford,10/29/2023,5060,5039,Setter,17.94,289.19,98.69,0.95,5.53,80,4455,501,4,1,46,4.84,38307.88,456.14,1053.47,12.54,406.76,17,0.2,35,1,5,29,0,0.42,0.01,0.06,0.35,0,145,28,18,61,11,27,1.73,0.33,0.21,0.73,0.13,0.32,,
SS009,219,Practice,Tuesday (10/31),10/31/2023,8355,8325,Setter,18.83,467.41,125.23,0.03,5.02,99,7550,676,0,0.91,46,4.41,66686.33,480.62,1833.87,13.22,611.51,13,0.09,15,0,8,7,0,0.11,0,0.06,0.05,0,261,52,71,106,2,30,1.88,0.37,0.51,0.76,0.01,0.22,,
SS009,220,Practice,Wednesday (11/1),11/01/2023,7874,7858,Setter,18.44,426.1,130.75,0.67,5.87,89,7070,697,2,0.91,40,4.4,52565.86,401.37,1445.56,11.04,575.95,14,0.11,26,2,6,18,0,0.2,0.02,0.05,0.14,0,208,41,43,85,4,35,1.59,0.31,0.33,0.65,0.03,0.27,,
SS009,223,Practice,Tuesday (11/7),11/07/2023,9574,8818,Setter,20.31,454.4,119.1,0.48,5.2,97,8077,642,2,0.84,48,4.04,60400.48,410.99,1661.01,11.3,594.3,14,0.1,35,0,12,23,0,0.24,0,0.08,0.16,0,237,41,64,91,9,32,1.61,0.28,0.44,0.62,0.06,0.22,,
SS009,224,Practice,Wednesday (11/8),11/08/2023,5823,5550,Setter,11.8,327.38,81.2,0.19,5.55,59,5042,449,1,0.94,28,4.55,49411.31,534.14,1358.81,14.69,420.57,10,0.11,19,0,5,14,0,0.21,0,0.05,0.15,0,204,31,65,81,1,26,2.21,0.34,0.7,0.88,0.01,0.28,,
SS009,225,Match,Colorado,11/9/23,7443,7025,Setter,20.78,361.54,104.76,0.61,5.84,92,6386,544,2,0.86,45,4.17,49009.36,418.59,1347.76,11.51,487.69,14,0.12,29,3,5,21,0,0.25,0.03,0.04,0.18,0,196,39,26,76,8,47,1.67,0.33,0.22,0.65,0.07,0.4,,
SS009,226,Match,Utah,11/11/23,5563,5529,Setter,18.78,300.61,78.57,1.1,6.07,85,5039,401,4,0.89,47,4.33,44300.99,480.75,1218.28,13.22,399.05,14,0.15,36,1,5,30,0,0.39,0.01,0.05,0.33,0,172,34,24,64,12,38,1.87,0.37,0.26,0.69,0.13,0.41,,
SS009,227,Practice,Tuesday (11/14),11/14/2023,8926,8460,Setter,26.66,453.61,165.5,0.74,5.82,135,7476,846,3,0.95,60,4.59,68076.83,482.81,1872.11,13.28,646.51,14,0.1,29,1,11,17,0,0.21,0.01,0.08,0.12,0,270,46,78,118,1,27,1.91,0.33,0.55,0.84,0.01,0.19,,
SS009,228,Practice,Wednesday (11/15),11/15/2023,7299,7253,Setter,16.04,420.04,121.38,0.41,5.93,82,6513,656,2,0.95,29,4.61,57503.28,475.69,1581.34,13.08,557.87,5,0.04,19,1,8,10,0,0.16,0.01,0.07,0.08,0,244,34,71,93,1,45,2.02,0.28,0.59,0.77,0.01,0.37,,
SS009,230,Match,Oregon,11/17/23,7600,7541,Setter,28.36,397.25,121.27,2.3,5.53,119,6799,615,8,0.9,70,4.37,54998.97,437.6,1512.47,12.03,549.18,34,0.27,57,0,15,42,0,0.45,0,0.12,0.33,0,219,49,37,62,17,54,1.74,0.39,0.29,0.49,0.14,0.43,,
SS009,231,Match,Oregon State,11/19/2023,8252,8199,Setter,23.72,448.23,121.7,1.22,5.85,106,7459,629,5,0.9,61,4.35,54883.92,401.64,1509.31,11.05,594.86,15,0.11,44,2,11,31,0,0.32,0.01,0.08,0.23,0,210,39,37,77,19,38,1.54,0.29,0.27,0.56,0.14,0.28,,
SS009,232,Practice,Monday (11/20),11/20/2023,5344,5225,Setter,12.29,300.24,79.07,0.36,5.32,59,4731,434,1,0.93,30,4.5,40469.57,464.72,1112.91,12.78,391.95,8,0.09,20,0,6,14,0,0.23,0,0.07,0.16,0,172,22,48,60,5,37,1.98,0.25,0.55,0.69,0.06,0.42,,
SS009,233,Match,WSU,11/22/2023,9105,9046,Setter,20.26,452.63,105.25,1.92,5.57,90,8401,548,7,0.79,52,3.85,45463.68,301.55,1250.25,8.29,580.07,20,0.13,33,1,7,25,0,0.22,0.01,0.05,0.17,0,186,29,35,63,14,45,1.23,0.19,0.23,0.42,0.09,0.3,,
SS009,234,Match,Arizona,11/25/2023,6234,6213,Setter,14.15,304.88,71,0.53,5.27,64,5772,375,2,0.78,38,3.77,38915.33,375.81,1070.17,10.33,390.56,13,0.13,22,0,1,21,0,0.21,0,0.01,0.2,0,153,31,36,48,11,27,1.48,0.3,0.35,0.46,0.11,0.26,,
SS009,235,Practice,Monday (11/27),11/27/2023,7176,7149,Setter,20.98,397.88,121.93,0.62,5.46,104,6393,650,2,0.94,56,4.54,59025.18,495.39,1623.19,13.62,541.42,12,0.1,27,0,6,21,0,0.23,0,0.05,0.18,0,234,44,68,81,9,32,1.96,0.37,0.57,0.68,0.08,0.27,,
